log_id,student_id,date,study_hour,subject,method_used,distraction_time,quiz_score,day_name
34,1383,2025-11-06,2.56,Science,Pomodoro,57.4,83,Thursday
35,1383,2025-11-07,2.16,History,Flashcards,32.7,65,Friday
36,1396,2025-11-03,2.19,Computer,Pomodoro,17.0,90,Monday
37,1396,2025-11-04,4.89,Computer,Notes Review,18.1,83,Tuesday
38,1396,2025-11-05,4.75,Computer,Practice Test,7.4,65,Wednesday
39,1396,2025-11-06,3.86,History,Practice Test,40.0,75,Thursday
40,1396,2025-11-07,1.9,Computer,Practice Test,21.7,87,Friday
41,1594,2025-11-03,1.17,History,Group Study,37.0,77,Monday
42,1594,2025-11-04,4.77,Science,Group Study,6.5,53,Tuesday
43,1594,2025-11-05,4.48,Science,Flashcards,51.4,57,Wednesday
44,1594,2025-11-06,2.82,History,Pomodoro,6.6,57,Thursday
45,1594,2025-11-07,4.28,Math,Notes Review,42.0,91,Friday
46,1613,2025-11-03,1.33,Math,Pomodoro,20.9,95,Monday
47,1613,2025-11-04,3.34,Science,Flashcards,18.5,78,Tuesday
48,1613,2025-11-05,3.9,History,Practice Test,48.4,56,Wednesday
49,1613,2025-11-06,4.55,English,Group Study,36.1,53,Thursday
50,1613,2025-11-07,4.99,Science,Pomodoro,22.0,71,Friday
51,1663,2025-11-03,4.01,Computer,Flashcards,30.2,81,Monday
52,1663,2025-11-04,4.1,English,Flashcards,56.0,71,Tuesday
53,1663,2025-11-05,4.61,Math,Flashcards,35.9,96,Wednesday
54,1663,2025-11-06,3.56,Computer,Notes Review,59.5,63,Thursday
55,1663,2025-11-07,3.48,English,Group Study,5.4,84,Friday
56,1666,2025-11-03,4.82,English,Pomodoro,28.1,74,Monday
57,1666,2025-11-04,4.93,Math,Group Study,39.6,97,Tuesday
58,1666,2025-11-05,3.64,Science,Flashcards,38.8,52,Wednesday
59,1666,2025-11-06,4.26,English,Flashcards,5.8,78,Thursday
60,1666,2025-11-07,3.73,History,Flashcards,39.0,63,Friday
61,1708,2025-11-03,3.31,Math,Pomodoro,23.0,53,Monday
62,1708,2025-11-04,1.86,English,Pomodoro,55.0,97,Tuesday
63,1708,2025-11-05,2.62,Math,Notes Review,14.1,65,Wednesday
64,1708,2025-11-06,1.6,English,Practice Test,5.0,92,Thursday
65,1708,2025-11-07,1.1,Science,Notes Review,51.2,61,Friday
66,1742,2025-11-03,1.8,Science,Pomodoro,35.3,62,Monday
67,1742,2025-11-04,4.49,English,Group Study,40.4,76,Tuesday
68,1742,2025-11-05,4.62,Math,Notes Review,25.1,88,Wednesday
69,1742,2025-11-06,4.47,Computer,Group Study,9.0,96,Thursday
70,1742,2025-11-07,1.63,Math,Flashcards,50.9,86,Friday
71,1790,2025-11-03,2.3,History,Group Study,59.8,89,Monday
72,1790,2025-11-04,2.98,English,Flashcards,48.7,99,Tuesday
73,1790,2025-11-05,2.26,Computer,Pomodoro,50.7,65,Wednesday
74,1790,2025-11-06,1.82,English,Group Study,7.1,81,Thursday
75,1790,2025-11-07,1.13,English,Practice Test,49.9,93,Friday
76,1853,2025-11-03,4.93,Science,Practice Test,6.4,58,Monday
77,1853,2025-11-04,2.56,English,Group Study,36.3,64,Tuesday
78,1853,2025-11-05,2.21,Science,Practice Test,16.9,51,Wednesday
79,1853,2025-11-06,4.87,Computer,Group Study,23.8,60,Thursday
80,1853,2025-11-07,3.38,Computer,Flashcards,31.0,62,Friday
81,1857,2025-11-03,1.26,Science,Practice Test,24.9,81,Monday
82,1857,2025-11-04,2.96,English,Group Study,19.1,91,Tuesday
83,1857,2025-11-05,2.85,Math,Pomodoro,22.2,75,Wednesday
84,1857,2025-11-06,1.26,Computer,Flashcards,52.9,50,Thursday
85,1857,2025-11-07,2.85,Science,Practice Test,59.0,69,Friday
86,1866,2025-11-03,4.61,Science,Group Study,27.6,80,Monday
87,1866,2025-11-04,2.29,English,Pomodoro,24.9,81,Tuesday
88,1866,2025-11-05,2.79,English,Group Study,22.8,69,Wednesday
89,1866,2025-11-06,4.47,History,Practice Test,56.0,83,Thursday
90,1866,2025-11-07,1.31,English,Practice Test,57.0,73,Friday
91,1959,2025-11-03,4.4,History,Notes Review,15.4,84,Monday
92,1959,2025-11-04,3.03,Computer,Flashcards,32.9,76,Tuesday
93,1959,2025-11-05,4.63,English,Notes Review,29.9,61,Wednesday
94,1959,2025-11-06,2.84,History,Notes Review,32.9,65,Thursday
95,1959,2025-11-07,3.76,Math,Flashcards,49.8,70,Friday
96,2142,2025-11-03,3.5,English,Notes Review,22.2,93,Monday
97,2142,2025-11-04,2.17,History,Pomodoro,28.1,85,Tuesday
98,2142,2025-11-05,4.77,History,Flashcards,32.7,92,Wednesday
99,2142,2025-11-06,1.98,Math,Practice Test,27.1,71,Thursday
100,2142,2025-11-07,1.36,Math,Notes Review,49.9,69,Friday
101,2318,2025-11-03,2.66,Science,Flashcards,59.4,97,Monday
102,2318,2025-11-04,1.81,Science,Group Study,46.2,81,Tuesday
103,2318,2025-11-05,1.91,Math,Flashcards,28.6,72,Wednesday
104,2318,2025-11-06,3.85,Computer,Group Study,22.6,50,Thursday
105,2318,2025-11-07,3.1,Science,Pomodoro,6.8,52,Friday
106,2322,2025-11-03,4.92,Science,Notes Review,10.6,73,Monday
107,2322,2025-11-04,3.59,Computer,Notes Review,26.8,65,Tuesday
108,2322,2025-11-05,4.75,Computer,Pomodoro,50.2,75,Wednesday
109,2322,2025-11-06,3.97,Computer,Notes Review,26.8,85,Thursday
110,2322,2025-11-07,1.41,Math,Flashcards,38.0,79,Friday
111,2499,2025-11-03,1.81,Computer,Notes Review,18.9,61,Monday
112,2499,2025-11-04,1.69,History,Group Study,43.7,93,Tuesday
113,2499,2025-11-05,4.68,English,Group Study,33.1,66,Wednesday
114,2499,2025-11-06,1.73,Math,Practice Test,8.7,86,Thursday
115,2499,2025-11-07,1.41,Computer,Practice Test,27.9,50,Friday
116,2538,2025-11-03,2.0,Computer,Group Study,36.9,90,Monday
117,2538,2025-11-04,2.18,Computer,Practice Test,47.3,57,Tuesday
118,2538,2025-11-05,3.97,Computer,Practice Test,53.6,96,Wednesday
119,2538,2025-11-06,1.5,Math,Pomodoro,55.9,63,Thursday
120,2538,2025-11-07,3.02,Science,Group Study,35.3,62,Friday
121,2575,2025-11-03,1.27,Science,Pomodoro,7.9,51,Monday
122,2575,2025-11-04,1.35,Math,Flashcards,9.2,76,Tuesday
123,2575,2025-11-05,2.69,Math,Practice Test,5.9,79,Wednesday
124,2575,2025-11-06,1.43,Science,Flashcards,50.4,66,Thursday
125,2575,2025-11-07,2.5,Computer,Group Study,28.7,52,Friday
126,2602,2025-11-03,2.65,Computer,Notes Review,32.2,96,Monday
127,2602,2025-11-04,2.43,English,Practice Test,27.3,83,Tuesday
128,2602,2025-11-05,2.58,Science,Practice Test,46.9,92,Wednesday
129,2602,2025-11-06,2.14,Math,Practice Test,30.2,89,Thursday
130,2602,2025-11-07,4.32,History,Notes Review,30.7,86,Friday
131,2698,2025-11-03,1.53,Computer,Group Study,48.4,63,Monday
132,2698,2025-11-04,2.13,English,Notes Review,59.3,72,Tuesday
133,2698,2025-11-05,3.38,Computer,Flashcards,55.3,81,Wednesday
134,2698,2025-11-06,2.87,History,Pomodoro,48.1,90,Thursday
135,2698,2025-11-07,1.75,English,Notes Review,17.8,99,Friday
136,2706,2025-11-03,4.12,History,Practice Test,48.8,84,Monday
137,2706,2025-11-04,1.56,Computer,Flashcards,10.9,73,Tuesday
138,2706,2025-11-05,4.28,English,Practice Test,49.1,71,Wednesday
139,2706,2025-11-06,3.26,History,Flashcards,21.4,50,Thursday
140,2706,2025-11-07,4.23,History,Notes Review,57.9,62,Friday
141,2800,2025-11-03,2.57,History,Practice Test,51.0,93,Monday
142,2800,2025-11-04,1.45,History,Group Study,25.5,60,Tuesday
143,2800,2025-11-05,3.08,Computer,Practice Test,11.7,78,Wednesday
144,2800,2025-11-06,4.9,Math,Practice Test,7.0,94,Thursday
145,2800,2025-11-07,1.02,Science,Flashcards,49.8,57,Friday
146,2921,2025-11-03,2.6,Science,Group Study,24.9,67,Monday
147,2921,2025-11-04,4.45,Computer,Group Study,55.1,58,Tuesday
148,2921,2025-11-05,2.77,Computer,Flashcards,35.0,98,Wednesday
149,2921,2025-11-06,1.47,Computer,Group Study,7.0,81,Thursday
150,2921,2025-11-07,2.21,Computer,Group Study,14.2,72,Friday
151,2962,2025-11-03,4.13,Science,Group Study,46.1,93,Monday
152,2962,2025-11-04,4.24,Science,Pomodoro,28.8,69,Tuesday
153,2962,2025-11-05,4.06,English,Flashcards,12.3,88,Wednesday
154,2962,2025-11-06,3.27,Computer,Group Study,44.1,63,Thursday
155,2962,2025-11-07,2.08,History,Notes Review,45.5,63,Friday
156,2963,2025-11-03,4.95,Math,Notes Review,29.0,54,Monday
157,2963,2025-11-04,1.82,Math,Group Study,34.5,87,Tuesday
158,2963,2025-11-05,3.77,History,Notes Review,49.4,54,Wednesday
159,2963,2025-11-06,3.98,English,Pomodoro,52.9,64,Thursday
160,2963,2025-11-07,1.56,Computer,Practice Test,41.3,93,Friday
161,2982,2025-11-03,4.74,English,Practice Test,23.9,63,Monday
162,2982,2025-11-04,1.55,Computer,Flashcards,9.2,74,Tuesday
163,2982,2025-11-05,3.14,Computer,Practice Test,44.4,63,Wednesday
164,2982,2025-11-06,2.57,English,Pomodoro,50.5,98,Thursday
165,2982,2025-11-07,1.35,English,Group Study,31.2,99,Friday
166,2991,2025-11-03,2.85,Computer,Group Study,16.0,69,Monday
167,2991,2025-11-04,4.56,Math,Notes Review,46.8,76,Tuesday
168,2991,2025-11-05,1.57,History,Flashcards,11.6,63,Wednesday
169,2991,2025-11-06,3.21,History,Practice Test,36.0,60,Thursday
170,2991,2025-11-07,4.98,English,Practice Test,6.3,90,Friday
171,3033,2025-11-03,2.95,Computer,Group Study,15.1,53,Monday
172,3033,2025-11-04,1.24,English,Practice Test,41.8,87,Tuesday
173,3033,2025-11-05,2.97,Computer,Practice Test,21.7,54,Wednesday
174,3033,2025-11-06,3.36,Science,Practice Test,12.3,87,Thursday
175,3033,2025-11-07,4.04,Science,Notes Review,6.3,68,Friday
176,3052,2025-11-03,1.15,Science,Pomodoro,37.6,80,Monday
177,3052,2025-11-04,1.29,Computer,Group Study,49.7,72,Tuesday
178,3052,2025-11-05,3.73,Computer,Notes Review,39.5,57,Wednesday
179,3052,2025-11-06,4.1,English,Pomodoro,14.2,52,Thursday
180,3052,2025-11-07,1.96,Science,Practice Test,48.2,99,Friday
181,3068,2025-11-03,2.71,Science,Pomodoro,8.9,83,Monday
182,3068,2025-11-04,4.6,History,Flashcards,9.3,63,Tuesday
183,3068,2025-11-05,1.61,English,Notes Review,24.0,50,Wednesday
184,3068,2025-11-06,3.45,Computer,Pomodoro,39.0,80,Thursday
185,3068,2025-11-07,3.09,English,Flashcards,8.8,59,Friday
186,3176,2025-11-03,4.48,History,Pomodoro,24.8,98,Monday
187,3176,2025-11-04,4.31,Computer,Pomodoro,42.9,98,Tuesday
188,3176,2025-11-05,3.87,Science,Pomodoro,9.3,92,Wednesday
189,3176,2025-11-06,4.41,English,Flashcards,36.1,83,Thursday
190,3176,2025-11-07,3.4,Computer,Flashcards,33.6,60,Friday
191,3205,2025-11-03,1.96,Science,Notes Review,46.1,66,Monday
192,3205,2025-11-04,3.22,Math,Practice Test,49.5,80,Tuesday
193,3205,2025-11-05,1.45,Computer,Notes Review,35.6,75,Wednesday
194,3205,2025-11-06,2.68,Computer,Notes Review,33.9,94,Thursday
195,3205,2025-11-07,3.7,History,Notes Review,15.5,59,Friday
196,3254,2025-11-03,3.82,Math,Practice Test,35.8,69,Monday
197,3254,2025-11-04,3.12,Science,Group Study,43.9,92,Tuesday
198,3254,2025-11-05,4.89,English,Pomodoro,28.0,52,Wednesday
199,3254,2025-11-06,4.54,Math,Group Study,55.4,64,Thursday
200,3254,2025-11-07,1.72,Science,Group Study,57.5,88,Friday
201,3255,2025-11-03,3.91,History,Pomodoro,59.6,72,Monday
202,3255,2025-11-04,2.46,Computer,Practice Test,21.5,57,Tuesday
203,3255,2025-11-05,4.52,English,Pomodoro,26.7,68,Wednesday
204,3255,2025-11-06,2.28,Math,Notes Review,28.1,57,Thursday
205,3255,2025-11-07,3.58,Science,Pomodoro,32.5,62,Friday
206,3257,2025-11-03,4.38,English,Group Study,10.2,81,Monday
207,3257,2025-11-04,4.16,Computer,Notes Review,44.1,80,Tuesday
208,3257,2025-11-05,2.98,Science,Pomodoro,6.2,88,Wednesday
209,3257,2025-11-06,1.87,Math,Group Study,55.6,71,Thursday
210,3257,2025-11-07,3.18,Computer,Group Study,46.7,74,Friday
211,3274,2025-11-03,3.59,History,Pomodoro,40.7,60,Monday
212,3274,2025-11-04,1.46,English,Group Study,29.2,95,Tuesday
213,3274,2025-11-05,3.42,Computer,Pomodoro,5.7,60,Wednesday
214,3274,2025-11-06,1.67,History,Notes Review,28.8,92,Thursday
215,3274,2025-11-07,2.34,English,Pomodoro,25.4,57,Friday
216,3336,2025-11-03,1.42,Science,Notes Review,11.0,74,Monday
217,3336,2025-11-04,1.49,English,Practice Test,14.4,67,Tuesday
218,3336,2025-11-05,1.24,History,Pomodoro,48.3,77,Wednesday
219,3336,2025-11-06,4.02,Science,Pomodoro,11.3,90,Thursday
220,3336,2025-11-07,1.55,Math,Group Study,47.7,80,Friday
221,3406,2025-11-03,2.74,Math,Flashcards,23.7,51,Monday
222,3406,2025-11-04,1.78,Computer,Flashcards,43.5,86,Tuesday
223,3406,2025-11-05,1.42,History,Notes Review,32.5,58,Wednesday
224,3406,2025-11-06,4.62,History,Group Study,22.1,86,Thursday
225,3406,2025-11-07,2.46,History,Group Study,45.0,86,Friday
226,3481,2025-11-03,4.64,History,Pomodoro,48.4,75,Monday
227,3481,2025-11-04,3.84,Science,Pomodoro,5.2,72,Tuesday
228,3481,2025-11-05,2.26,Science,Practice Test,17.3,85,Wednesday
229,3481,2025-11-06,4.29,Computer,Flashcards,11.6,85,Thursday
230,3481,2025-11-07,1.39,Math,Pomodoro,45.7,75,Friday
231,3609,2025-11-03,1.64,Science,Notes Review,47.5,68,Monday
232,3609,2025-11-04,2.74,History,Group Study,57.8,57,Tuesday
233,3609,2025-11-05,2.69,English,Pomodoro,50.3,81,Wednesday
234,3609,2025-11-06,3.51,Math,Practice Test,58.7,66,Thursday
235,3609,2025-11-07,4.6,Science,Flashcards,30.7,72,Friday
236,3663,2025-11-03,4.73,Math,Notes Review,8.0,61,Monday
237,3663,2025-11-04,1.49,Math,Group Study,16.5,90,Tuesday
238,3663,2025-11-05,1.7,History,Group Study,29.2,91,Wednesday
239,3663,2025-11-06,3.44,Computer,Group Study,25.1,69,Thursday
240,3663,2025-11-07,2.9,Computer,Pomodoro,6.4,90,Friday
241,3669,2025-11-03,2.49,English,Group Study,42.1,91,Monday
242,3669,2025-11-04,1.88,Science,Flashcards,31.8,85,Tuesday
243,3669,2025-11-05,1.66,Science,Group Study,12.4,69,Wednesday
244,3669,2025-11-06,4.82,English,Pomodoro,24.9,86,Thursday
245,3669,2025-11-07,3.48,Math,Pomodoro,40.4,58,Friday
246,3690,2025-11-03,3.55,Math,Flashcards,43.7,74,Monday
247,3690,2025-11-04,4.75,Science,Pomodoro,28.6,87,Tuesday
248,3690,2025-11-05,3.39,English,Notes Review,51.8,66,Wednesday
249,3690,2025-11-06,2.66,Math,Pomodoro,5.5,55,Thursday
250,3690,2025-11-07,3.31,Science,Notes Review,31.3,81,Friday
251,3694,2025-11-03,4.01,Science,Pomodoro,7.4,96,Monday
252,3694,2025-11-04,2.04,English,Practice Test,16.5,92,Tuesday
253,3694,2025-11-05,3.29,English,Flashcards,53.1,89,Wednesday
254,3694,2025-11-06,2.18,Computer,Group Study,36.7,93,Thursday
255,3694,2025-11-07,3.91,Math,Practice Test,32.5,65,Friday
256,3719,2025-11-03,2.88,Math,Flashcards,14.2,77,Monday
257,3719,2025-11-04,1.91,English,Group Study,31.1,54,Tuesday
258,3719,2025-11-05,4.78,Science,Pomodoro,49.9,83,Wednesday
259,3719,2025-11-06,4.24,Math,Flashcards,49.9,61,Thursday
260,3719,2025-11-07,1.48,Science,Group Study,52.5,54,Friday
261,3797,2025-11-03,2.85,English,Pomodoro,23.7,94,Monday
262,3797,2025-11-04,4.09,History,Flashcards,55.0,89,Tuesday
263,3797,2025-11-05,2.77,History,Group Study,44.5,73,Wednesday
264,3797,2025-11-06,3.37,English,Notes Review,10.5,55,Thursday
265,3797,2025-11-07,4.63,Science,Pomodoro,30.6,62,Friday
266,3873,2025-11-03,2.67,History,Flashcards,23.4,73,Monday
267,3873,2025-11-04,4.85,History,Flashcards,30.2,60,Tuesday
268,3873,2025-11-05,1.86,History,Practice Test,52.6,74,Wednesday
269,3873,2025-11-06,1.87,History,Flashcards,25.3,71,Thursday
270,3873,2025-11-07,4.31,Math,Group Study,45.5,90,Friday
271,3994,2025-11-03,4.84,Computer,Pomodoro,57.0,78,Monday
272,3994,2025-11-04,2.28,History,Group Study,45.6,76,Tuesday
273,3994,2025-11-05,3.95,Computer,Practice Test,35.5,95,Wednesday
274,3994,2025-11-06,2.98,English,Group Study,33.9,93,Thursday
275,3994,2025-11-07,1.12,History,Flashcards,56.2,62,Friday
276,4009,2025-11-03,3.84,English,Flashcards,56.1,75,Monday
277,4009,2025-11-04,4.41,Science,Group Study,50.0,91,Tuesday
278,4009,2025-11-05,3.91,Science,Practice Test,25.4,92,Wednesday
279,4009,2025-11-06,4.38,English,Practice Test,54.5,51,Thursday
280,4009,2025-11-07,3.27,Computer,Practice Test,38.4,95,Friday
281,4036,2025-11-03,3.05,Computer,Notes Review,33.2,63,Monday
282,4036,2025-11-04,3.96,English,Practice Test,50.3,52,Tuesday
283,4036,2025-11-05,4.91,Math,Group Study,37.1,51,Wednesday
284,4036,2025-11-06,2.46,Computer,Group Study,30.3,60,Thursday
285,4036,2025-11-07,1.6,History,Notes Review,54.8,71,Friday
286,4138,2025-11-03,2.64,Math,Pomodoro,41.1,91,Monday
287,4138,2025-11-04,4.55,Computer,Group Study,7.2,91,Tuesday
288,4138,2025-11-05,2.41,English,Group Study,11.1,93,Wednesday
289,4138,2025-11-06,3.76,Science,Flashcards,41.5,52,Thursday
290,4138,2025-11-07,2.91,English,Practice Test,18.0,87,Friday
291,4140,2025-11-03,4.94,Science,Pomodoro,18.9,62,Monday
292,4140,2025-11-04,4.26,Science,Pomodoro,36.9,65,Tuesday
293,4140,2025-11-05,3.45,Science,Flashcards,31.9,54,Wednesday
294,4140,2025-11-06,1.87,Computer,Group Study,46.2,97,Thursday
295,4140,2025-11-07,4.52,Computer,Flashcards,44.6,75,Friday
296,4188,2025-11-03,3.18,Computer,Group Study,46.0,64,Monday
297,4188,2025-11-04,2.58,History,Notes Review,59.5,85,Tuesday
298,4188,2025-11-05,2.67,Computer,Group Study,20.8,80,Wednesday
299,4188,2025-11-06,4.02,Science,Group Study,15.2,73,Thursday
300,4188,2025-11-07,4.62,English,Practice Test,14.5,73,Friday
301,4197,2025-11-03,4.87,History,Group Study,8.9,75,Monday
302,4197,2025-11-04,1.37,History,Pomodoro,14.0,76,Tuesday
303,4197,2025-11-05,3.2,Math,Practice Test,8.4,72,Wednesday
304,4197,2025-11-06,2.02,English,Practice Test,35.0,61,Thursday
305,4197,2025-11-07,1.4,Math,Pomodoro,31.6,72,Friday
306,4235,2025-11-03,1.62,English,Group Study,24.5,70,Monday
307,4235,2025-11-04,1.87,Math,Group Study,47.1,51,Tuesday
308,4235,2025-11-05,1.81,Math,Practice Test,43.4,96,Wednesday
309,4235,2025-11-06,3.09,Science,Pomodoro,5.2,54,Thursday
310,4235,2025-11-07,4.48,Science,Group Study,58.1,75,Friday
311,4265,2025-11-03,2.13,History,Group Study,54.4,92,Monday
312,4265,2025-11-04,1.32,Computer,Group Study,35.1,80,Tuesday
313,4265,2025-11-05,4.07,English,Group Study,42.0,87,Wednesday
314,4265,2025-11-06,4.93,Computer,Practice Test,53.6,64,Thursday
315,4265,2025-11-07,3.69,English,Flashcards,16.9,76,Friday
316,4311,2025-11-03,3.03,English,Flashcards,23.9,86,Monday
317,4311,2025-11-04,3.18,History,Pomodoro,21.3,91,Tuesday
318,4311,2025-11-05,2.26,Math,Notes Review,35.5,56,Wednesday
319,4311,2025-11-06,3.21,English,Group Study,39.8,83,Thursday
320,4311,2025-11-07,3.67,English,Flashcards,35.9,82,Friday
321,4406,2025-11-03,3.87,English,Practice Test,41.6,96,Monday
322,4406,2025-11-04,1.86,English,Pomodoro,58.8,53,Tuesday
323,4406,2025-11-05,2.84,Math,Flashcards,8.8,88,Wednesday
324,4406,2025-11-06,2.28,History,Flashcards,41.7,81,Thursday
325,4406,2025-11-07,1.65,English,Pomodoro,25.6,94,Friday
326,4418,2025-11-03,2.57,Computer,Notes Review,19.5,54,Monday
327,4418,2025-11-04,4.64,English,Group Study,40.7,72,Tuesday
328,4418,2025-11-05,3.76,Science,Practice Test,53.1,93,Wednesday
329,4418,2025-11-06,3.25,History,Practice Test,9.3,86,Thursday
330,4418,2025-11-07,2.77,Math,Practice Test,40.2,79,Friday
331,4462,2025-11-03,2.47,Science,Pomodoro,53.3,83,Monday
332,4462,2025-11-04,4.4,Math,Practice Test,14.5,81,Tuesday
333,4462,2025-11-05,2.2,Math,Flashcards,50.4,82,Wednesday
334,4462,2025-11-06,3.0,English,Practice Test,55.3,87,Thursday
335,4462,2025-11-07,2.84,Computer,Flashcards,49.0,92,Friday
336,4463,2025-11-03,1.48,History,Group Study,44.4,60,Monday
337,4463,2025-11-04,1.17,English,Practice Test,27.1,65,Tuesday
338,4463,2025-11-05,2.73,English,Group Study,51.7,61,Wednesday
339,4463,2025-11-06,3.54,History,Practice Test,44.5,95,Thursday
340,4463,2025-11-07,4.52,Computer,Practice Test,36.1,73,Friday
341,4509,2025-11-03,4.98,History,Flashcards,9.8,53,Monday
342,4509,2025-11-04,3.89,Science,Flashcards,54.0,86,Tuesday
343,4509,2025-11-05,3.46,English,Pomodoro,32.3,94,Wednesday
344,4509,2025-11-06,4.01,Science,Practice Test,31.6,50,Thursday
345,4509,2025-11-07,4.05,History,Practice Test,56.4,83,Friday
346,4514,2025-11-03,2.95,Science,Pomodoro,59.9,50,Monday
347,4514,2025-11-04,1.07,Math,Group Study,47.0,91,Tuesday
348,4514,2025-11-05,1.47,English,Practice Test,49.3,57,Wednesday
349,4514,2025-11-06,2.84,Math,Pomodoro,14.6,86,Thursday
350,4514,2025-11-07,1.63,History,Notes Review,35.3,87,Friday
351,4517,2025-11-03,4.29,English,Notes Review,53.3,86,Monday
352,4517,2025-11-04,2.25,Science,Flashcards,50.4,61,Tuesday
353,4517,2025-11-05,2.52,History,Group Study,42.3,89,Wednesday
354,4517,2025-11-06,4.77,Computer,Notes Review,34.2,64,Thursday
355,4517,2025-11-07,4.17,Science,Notes Review,18.9,83,Friday
356,4538,2025-11-03,3.79,Math,Notes Review,35.3,89,Monday
357,4538,2025-11-04,3.0,Science,Flashcards,20.6,79,Tuesday
358,4538,2025-11-05,1.82,Computer,Pomodoro,44.5,56,Wednesday
359,4538,2025-11-06,1.59,Science,Flashcards,25.3,53,Thursday
360,4538,2025-11-07,1.0,Computer,Practice Test,54.6,79,Friday
361,4603,2025-11-03,2.3,Science,Group Study,8.8,93,Monday
362,4603,2025-11-04,1.03,History,Group Study,29.5,74,Tuesday
363,4603,2025-11-05,4.96,Science,Flashcards,15.1,73,Wednesday
364,4603,2025-11-06,4.6,History,Notes Review,30.8,64,Thursday
365,4603,2025-11-07,3.0,Math,Notes Review,59.6,91,Friday
366,4604,2025-11-03,3.03,Science,Pomodoro,33.8,97,Monday
367,4604,2025-11-04,4.45,Science,Practice Test,14.0,67,Tuesday
368,4604,2025-11-05,1.45,History,Flashcards,14.3,72,Wednesday
369,4604,2025-11-06,2.93,English,Pomodoro,52.4,93,Thursday
370,4604,2025-11-07,1.66,History,Pomodoro,25.8,70,Friday
371,4633,2025-11-03,4.97,History,Pomodoro,59.2,73,Monday
372,4633,2025-11-04,4.9,Math,Notes Review,42.4,87,Tuesday
373,4633,2025-11-05,2.17,Math,Group Study,46.3,70,Wednesday
374,4633,2025-11-06,4.27,History,Group Study,52.0,53,Thursday
375,4633,2025-11-07,3.75,English,Pomodoro,38.3,55,Friday
376,4675,2025-11-03,3.61,Science,Pomodoro,27.2,86,Monday
377,4675,2025-11-04,3.28,Science,Flashcards,49.1,69,Tuesday
378,4675,2025-11-05,4.14,Science,Pomodoro,29.6,56,Wednesday
379,4675,2025-11-06,4.88,English,Flashcards,46.0,82,Thursday
380,4675,2025-11-07,2.71,Computer,Pomodoro,6.3,62,Friday
381,4776,2025-11-03,3.56,Math,Notes Review,42.9,68,Monday
382,4776,2025-11-04,1.47,English,Group Study,53.5,79,Tuesday
383,4776,2025-11-05,4.33,Science,Group Study,23.9,73,Wednesday
384,4776,2025-11-06,1.48,Computer,Group Study,29.7,63,Thursday
385,4776,2025-11-07,4.08,English,Notes Review,6.0,96,Friday
386,4846,2025-11-03,4.39,Computer,Practice Test,26.2,64,Monday
387,4846,2025-11-04,4.43,History,Pomodoro,6.8,64,Tuesday
388,4846,2025-11-05,2.2,History,Practice Test,7.2,53,Wednesday
