Log_id,Student_id,Date,Day_name,Study_hour,Subject,Method_used,Distraction_time,Quiz_score
60,250006,2025-11-26,Wednesday,2.37,Computer,Pomodoro,33.3,62
61,250007,2025-11-13,Thursday,1.26,English,Pomodoro,48.8,50
62,250007,2025-11-14,Friday,1.06,English,Pomodoro,42.6,51
63,250007,2025-11-17,Monday,1.25,Science,Videos,39.2,44
64,250007,2025-11-18,Tuesday,1.68,Science,Videos,58.3,43
65,250007,2025-11-19,Wednesday,1.79,Science,Notes Review,38.5,46
66,250007,2025-11-20,Thursday,1.26,English,Notes Review,56.2,28
67,250007,2025-11-21,Friday,1.29,English,Notes Review,42.3,45
68,250007,2025-11-24,Monday,1.69,Math,Pomodoro,57.8,26
69,250007,2025-11-25,Tuesday,1.16,Science,Videos,36.8,35
70,250007,2025-11-26,Wednesday,1.27,Computer,Videos,44.4,21
71,250008,2025-11-13,Thursday,2.0,Science,Notes Review,18.1,81
72,250008,2025-11-14,Friday,1.82,English,Notes Review,15.7,65
73,250008,2025-11-17,Monday,2.12,Math,Pomodoro,21.5,67
74,250008,2025-11-18,Tuesday,2.07,Science,Videos,31.8,79
75,250008,2025-11-19,Wednesday,2.22,Math,Notes Review,17.8,75
76,250008,2025-11-20,Thursday,2.11,Computer,Videos,21.5,76
77,250008,2025-11-21,Friday,2.06,Science,Pomodoro,29.9,64
78,250008,2025-11-24,Monday,1.85,Math,Pomodoro,23.6,71
79,250008,2025-11-25,Tuesday,1.9,Computer,Notes Review,18.1,61
80,250008,2025-11-26,Wednesday,1.86,Math,Pomodoro,18.7,72
81,250009,2025-11-13,Thursday,1.59,Math,Videos,48.9,41
82,250009,2025-11-14,Friday,1.04,Science,Pomodoro,49.2,56
83,250009,2025-11-17,Monday,1.27,Science,Notes Review,37.3,49
84,250009,2025-11-18,Tuesday,1.56,Science,Pomodoro,46.9,45
85,250009,2025-11-19,Wednesday,1.38,Math,Videos,39.3,49
86,250009,2025-11-20,Thursday,1.04,Science,Videos,58.7,55
87,250009,2025-11-21,Friday,1.01,Math,Pomodoro,58.3,51
88,250009,2025-11-24,Monday,1.55,English,Notes Review,50.4,35
89,250009,2025-11-25,Tuesday,1.02,Computer,Notes Review,49.6,46
90,250009,2025-11-26,Wednesday,1.46,Computer,Videos,38.2,56
91,250010,2025-11-13,Thursday,1.52,Math,Videos,40.2,48
92,250010,2025-11-14,Friday,1.3,English,Pomodoro,36.0,54
93,250010,2025-11-17,Monday,1.52,Science,Notes Review,44.6,29
94,250010,2025-11-18,Tuesday,1.65,Science,Pomodoro,42.0,23
95,250010,2025-11-19,Wednesday,1.28,Math,Pomodoro,58.4,55
96,250010,2025-11-20,Thursday,1.77,Math,Videos,48.7,56
97,250010,2025-11-21,Friday,1.79,Math,Videos,45.3,37
98,250010,2025-11-24,Monday,1.46,Math,Pomodoro,56.7,51
99,250010,2025-11-25,Tuesday,1.54,Math,Notes Review,53.5,54
100,250010,2025-11-26,Wednesday,1.72,Science,Pomodoro,47.6,44
101,250011,2025-11-13,Thursday,1.31,Computer,Pomodoro,35.3,38
102,250011,2025-11-14,Friday,1.26,Science,Videos,58.8,38
103,250011,2025-11-17,Monday,1.07,Math,Videos,37.3,31
104,250011,2025-11-18,Tuesday,1.17,Math,Videos,58.7,35
105,250011,2025-11-19,Wednesday,1.07,Science,Videos,47.4,58
106,250011,2025-11-20,Thursday,1.04,English,Videos,53.4,48
107,250011,2025-11-21,Friday,1.09,Science,Pomodoro,38.6,29
108,250011,2025-11-24,Monday,1.08,Computer,Notes Review,37.1,32
109,250011,2025-11-25,Tuesday,1.32,Math,Pomodoro,57.3,21
110,250011,2025-11-26,Wednesday,1.07,Science,Pomodoro,59.7,20
111,250012,2025-11-13,Thursday,1.79,Computer,Videos,53.8,25
112,250012,2025-11-14,Friday,1.39,English,Notes Review,44.4,58
113,250012,2025-11-17,Monday,1.73,Math,Pomodoro,37.8,22
114,250012,2025-11-18,Tuesday,1.32,Computer,Pomodoro,49.3,39
115,250012,2025-11-19,Wednesday,1.66,Math,Notes Review,53.6,22
116,250012,2025-11-20,Thursday,1.32,Computer,Pomodoro,46.9,44
117,250012,2025-11-21,Friday,1.18,Math,Pomodoro,59.1,51
118,250012,2025-11-24,Monday,1.26,English,Pomodoro,36.1,40
119,250012,2025-11-25,Tuesday,1.2,English,Pomodoro,52.4,37
120,250012,2025-11-26,Wednesday,1.17,Math,Notes Review,42.4,20
121,250013,2025-11-13,Thursday,2.34,Science,Notes Review,15.9,71
122,250013,2025-11-14,Friday,2.07,Science,Notes Review,27.4,67
123,250013,2025-11-17,Monday,2.03,Math,Videos,19.6,64
124,250013,2025-11-18,Tuesday,2.22,Math,Pomodoro,25.7,60
125,250013,2025-11-19,Wednesday,2.21,English,Pomodoro,18.3,73
126,250013,2025-11-20,Thursday,2.36,English,Pomodoro,23.3,64
127,250013,2025-11-21,Friday,2.05,English,Pomodoro,33.7,77
128,250013,2025-11-24,Monday,1.9,Math,Notes Review,23.2,81
129,250013,2025-11-25,Tuesday,2.39,Science,Videos,18.0,80
130,250013,2025-11-26,Wednesday,2.04,Math,Pomodoro,31.6,76
131,250014,2025-11-13,Thursday,2.05,English,Notes Review,20.5,75
132,250014,2025-11-14,Friday,2.22,Science,Videos,25.7,64
133,250014,2025-11-17,Monday,2.13,Science,Notes Review,30.4,64
134,250014,2025-11-18,Tuesday,2.03,Science,Pomodoro,19.8,68
135,250014,2025-11-19,Wednesday,2.37,Math,Notes Review,27.1,60
136,250014,2025-11-20,Thursday,2.01,Science,Notes Review,17.3,61
137,250014,2025-11-21,Friday,2.3,Science,Pomodoro,21.2,60
138,250014,2025-11-24,Monday,1.85,Computer,Videos,30.8,76
139,250014,2025-11-25,Tuesday,1.82,Science,Notes Review,30.1,80
140,250014,2025-11-26,Wednesday,2.28,Science,Notes Review,33.1,61
141,250015,2025-11-13,Thursday,2.04,Computer,Pomodoro,23.7,61
142,250015,2025-11-14,Friday,2.11,Science,Videos,30.7,82
143,250015,2025-11-17,Monday,2.22,Computer,Pomodoro,30.9,69
144,250015,2025-11-18,Tuesday,2.1,Math,Notes Review,20.2,83
145,250015,2025-11-19,Wednesday,2.17,English,Videos,21.9,70
146,250015,2025-11-20,Thursday,1.85,Computer,Videos,17.6,82
147,250015,2025-11-21,Friday,2.04,Computer,Pomodoro,29.0,63
148,250015,2025-11-24,Monday,2.34,Math,Notes Review,24.5,77
149,250015,2025-11-25,Tuesday,1.93,Computer,Notes Review,31.4,77
150,250015,2025-11-26,Wednesday,1.91,Math,Pomodoro,16.8,60
151,250016,2025-11-13,Thursday,2.34,English,Pomodoro,17.6,72
152,250016,2025-11-14,Friday,1.86,English,Notes Review,24.6,81
153,250016,2025-11-17,Monday,1.89,Science,Pomodoro,22.5,76
154,250016,2025-11-18,Tuesday,1.85,English,Videos,26.9,79
155,250016,2025-11-19,Wednesday,2.02,Science,Notes Review,24.7,82
156,250016,2025-11-20,Thursday,2.25,English,Videos,15.7,83
157,250016,2025-11-21,Friday,2.21,English,Pomodoro,31.9,70
158,250016,2025-11-24,Monday,2.32,English,Pomodoro,22.1,78
159,250016,2025-11-25,Tuesday,2.24,Math,Pomodoro,18.6,66
160,250016,2025-11-26,Wednesday,1.93,Math,Pomodoro,21.5,71
161,250017,2025-11-13,Thursday,2.08,Math,Notes Review,22.1,68
162,250017,2025-11-14,Friday,1.85,English,Pomodoro,25.7,61
163,250017,2025-11-17,Monday,2.14,Science,Notes Review,22.6,64
164,250017,2025-11-18,Tuesday,2.16,Science,Pomodoro,19.9,72
165,250017,2025-11-19,Wednesday,2.36,Science,Notes Review,15.2,80
166,250017,2025-11-20,Thursday,1.95,Science,Notes Review,18.2,70
167,250017,2025-11-21,Friday,2.28,English,Videos,16.1,68
168,250017,2025-11-24,Monday,2.11,Computer,Videos,23.2,63
169,250017,2025-11-25,Tuesday,2.34,Computer,Videos,26.5,70
170,250017,2025-11-26,Wednesday,2.29,Science,Videos,20.2,83
171,250018,2025-11-13,Thursday,1.57,English,Pomodoro,48.4,45
172,250018,2025-11-14,Friday,1.62,English,Pomodoro,39.7,23
173,250018,2025-11-17,Monday,1.59,Science,Notes Review,48.2,20
174,250018,2025-11-18,Tuesday,1.23,English,Pomodoro,49.5,30
175,250018,2025-11-19,Wednesday,1.43,Math,Videos,36.3,29
176,250018,2025-11-20,Thursday,1.44,Science,Pomodoro,40.0,59
177,250018,2025-11-21,Friday,1.11,English,Videos,35.1,28
178,250018,2025-11-24,Monday,1.38,English,Pomodoro,45.3,49
179,250018,2025-11-25,Tuesday,1.68,Math,Videos,53.6,33
180,250018,2025-11-26,Wednesday,1.75,Math,Notes Review,39.5,54
181,250019,2025-11-13,Thursday,2.89,Science,Notes Review,13.3,89
182,250019,2025-11-14,Friday,2.91,English,Notes Review,6.9,87
183,250019,2025-11-17,Monday,2.76,Science,Pomodoro,8.6,97
184,250019,2025-11-18,Tuesday,2.84,Science,Videos,9.5,92
185,250019,2025-11-19,Wednesday,2.81,English,Pomodoro,10.4,99
186,250019,2025-11-20,Thursday,2.62,Science,Notes Review,14.0,91
187,250019,2025-11-21,Friday,2.53,English,Notes Review,7.3,91
188,250019,2025-11-24,Monday,2.97,Science,Videos,11.3,92
189,250019,2025-11-25,Tuesday,2.94,English,Videos,10.0,98
190,250019,2025-11-26,Wednesday,2.89,Math,Pomodoro,6.5,85
191,250020,2025-11-13,Thursday,1.11,Science,Pomodoro,40.1,21
192,250020,2025-11-14,Friday,1.7,Math,Videos,43.6,57
193,250020,2025-11-17,Monday,1.3,Math,Pomodoro,46.4,34
194,250020,2025-11-18,Tuesday,1.39,English,Videos,45.2,21
195,250020,2025-11-19,Wednesday,1.48,English,Videos,49.1,45
196,250020,2025-11-20,Thursday,1.28,Computer,Notes Review,39.5,29
197,250020,2025-11-21,Friday,1.18,Science,Videos,45.6,45
198,250020,2025-11-24,Monday,1.12,Math,Pomodoro,49.7,37
199,250020,2025-11-25,Tuesday,1.01,Computer,Pomodoro,56.8,31
200,250020,2025-11-26,Wednesday,1.74,English,Notes Review,52.7,47
201,250021,2025-11-13,Thursday,2.54,Science,Videos,6.0,93
202,250021,2025-11-14,Friday,2.73,Science,Notes Review,6.1,89
203,250021,2025-11-17,Monday,2.59,English,Notes Review,13.4,85
204,250021,2025-11-18,Tuesday,2.76,English,Pomodoro,10.9,89
205,250021,2025-11-19,Wednesday,2.87,Math,Notes Review,7.1,93
206,250021,2025-11-20,Thursday,2.67,Science,Videos,9.0,93
207,250021,2025-11-21,Friday,2.96,Science,Videos,9.7,95
208,250021,2025-11-24,Monday,2.73,English,Videos,7.2,96
209,250021,2025-11-25,Tuesday,2.62,Science,Pomodoro,10.8,88
210,250021,2025-11-26,Wednesday,2.96,English,Notes Review,8.6,99
211,250022,2025-11-13,Thursday,2.61,Computer,Pomodoro,10.2,85
212,250022,2025-11-14,Friday,2.57,English,Pomodoro,9.1,96
213,250022,2025-11-17,Monday,2.59,Science,Videos,8.0,97
214,250022,2025-11-18,Tuesday,2.71,Computer,Notes Review,13.0,98
215,250022,2025-11-19,Wednesday,2.6,Computer,Videos,5.4,98
216,250022,2025-11-20,Thursday,2.53,Science,Notes Review,12.8,99
217,250022,2025-11-21,Friday,2.77,Science,Videos,9.8,98
218,250022,2025-11-24,Monday,2.58,English,Videos,6.8,97
219,250022,2025-11-25,Tuesday,2.88,Science,Notes Review,7.7,87
220,250022,2025-11-26,Wednesday,2.7,Computer,Notes Review,5.3,96
221,250023,2025-11-13,Thursday,1.33,Computer,Videos,48.8,22
222,250023,2025-11-14,Friday,1.54,English,Videos,35.5,56
223,250023,2025-11-17,Monday,1.52,English,Notes Review,41.0,53
224,250023,2025-11-18,Tuesday,1.48,Computer,Pomodoro,55.2,35
225,250023,2025-11-19,Wednesday,1.11,English,Notes Review,45.2,37
226,250023,2025-11-20,Thursday,1.07,Computer,Pomodoro,40.2,38
227,250023,2025-11-21,Friday,1.7,Science,Pomodoro,51.1,37
228,250023,2025-11-24,Monday,1.65,English,Videos,43.5,21
229,250023,2025-11-25,Tuesday,1.03,Science,Notes Review,55.8,56
230,250023,2025-11-26,Wednesday,1.29,Computer,Notes Review,56.5,54
231,250024,2025-11-13,Thursday,1.11,Computer,Pomodoro,56.7,42
232,250024,2025-11-14,Friday,1.39,Computer,Notes Review,47.8,28
233,250024,2025-11-17,Monday,1.51,English,Notes Review,41.4,41
234,250024,2025-11-18,Tuesday,1.79,English,Pomodoro,48.1,53
235,250024,2025-11-19,Wednesday,1.01,Science,Pomodoro,57.9,40
236,250024,2025-11-20,Thursday,1.22,Science,Notes Review,48.9,44
237,250024,2025-11-21,Friday,1.58,Math,Videos,37.7,41
238,250024,2025-11-24,Monday,1.72,Science,Pomodoro,56.8,59
239,250024,2025-11-25,Tuesday,1.53,Science,Pomodoro,39.4,36
240,250024,2025-11-26,Wednesday,1.31,Computer,Notes Review,48.0,21
241,250025,2025-11-13,Thursday,1.07,Math,Pomodoro,50.1,45
242,250025,2025-11-14,Friday,1.67,Math,Videos,45.9,55
243,250025,2025-11-17,Monday,1.24,English,Videos,49.2,53
244,250025,2025-11-18,Tuesday,1.76,Science,Videos,38.4,52
245,250025,2025-11-19,Wednesday,1.21,Science,Videos,49.9,36
246,250025,2025-11-20,Thursday,1.48,Science,Pomodoro,43.4,45
247,250025,2025-11-21,Friday,1.28,Math,Pomodoro,43.8,20
248,250025,2025-11-24,Monday,1.55,English,Videos,45.9,58
249,250025,2025-11-25,Tuesday,1.06,Science,Notes Review,35.1,49
250,250025,2025-11-26,Wednesday,1.08,Science,Pomodoro,42.9,36
251,250026,2025-11-13,Thursday,1.91,English,Videos,25.8,83
252,250026,2025-11-14,Friday,2.28,Computer,Notes Review,28.2,81
253,250026,2025-11-17,Monday,2.39,English,Videos,33.1,71
254,250026,2025-11-18,Tuesday,2.39,Computer,Notes Review,33.9,74
255,250026,2025-11-19,Wednesday,2.15,Science,Notes Review,35.0,80
256,250026,2025-11-20,Thursday,1.99,Math,Videos,17.4,66
257,250026,2025-11-21,Friday,2.35,Math,Notes Review,34.4,82
258,250026,2025-11-24,Monday,2.25,Science,Videos,16.1,62
259,250026,2025-11-25,Tuesday,2.3,English,Pomodoro,15.7,83
260,250026,2025-11-26,Wednesday,1.85,Science,Videos,28.9,67
261,250027,2025-11-13,Thursday,2.14,Math,Notes Review,31.1,63
262,250027,2025-11-14,Friday,1.99,Math,Notes Review,27.5,75
263,250027,2025-11-17,Monday,2.33,Science,Notes Review,23.4,62
264,250027,2025-11-18,Tuesday,1.81,Science,Videos,32.5,72
265,250027,2025-11-19,Wednesday,1.84,Math,Notes Review,15.2,76
266,250027,2025-11-20,Thursday,2.09,Computer,Videos,27.6,83
267,250027,2025-11-21,Friday,2.04,Computer,Pomodoro,16.8,66
268,250027,2025-11-24,Monday,2.24,Science,Notes Review,15.1,72
269,250027,2025-11-25,Tuesday,2.31,Math,Pomodoro,29.3,64
270,250027,2025-11-26,Wednesday,2.35,Math,Pomodoro,15.9,74
271,250028,2025-11-13,Thursday,1.93,English,Notes Review,34.0,64
272,250028,2025-11-14,Friday,2.39,English,Notes Review,32.7,83
273,250028,2025-11-17,Monday,2.17,Computer,Videos,18.3,79
274,250028,2025-11-18,Tuesday,2.04,Math,Videos,31.8,81
275,250028,2025-11-19,Wednesday,2.11,Math,Notes Review,19.6,61
276,250028,2025-11-20,Thursday,1.82,Science,Pomodoro,34.1,83
277,250028,2025-11-21,Friday,1.83,Math,Videos,34.4,76
278,250028,2025-11-24,Monday,2.16,English,Notes Review,25.5,69
279,250028,2025-11-25,Tuesday,2.09,Computer,Videos,34.9,62
280,250028,2025-11-26,Wednesday,1.93,Math,Pomodoro,19.5,74
281,250029,2025-11-13,Thursday,1.69,English,Pomodoro,46.4,22
282,250029,2025-11-14,Friday,1.71,Science,Pomodoro,58.9,31
283,250029,2025-11-17,Monday,1.26,English,Notes Review,58.3,30
284,250029,2025-11-18,Tuesday,1.33,English,Pomodoro,44.3,27
285,250029,2025-11-19,Wednesday,1.04,Computer,Pomodoro,48.3,56
286,250029,2025-11-20,Thursday,1.72,Math,Notes Review,59.8,59
287,250029,2025-11-21,Friday,1.47,Science,Videos,55.6,59
288,250029,2025-11-24,Monday,1.69,English,Pomodoro,53.3,43
289,250029,2025-11-25,Tuesday,1.13,English,Pomodoro,39.0,32
290,250029,2025-11-26,Wednesday,1.56,Science,Videos,52.0,46
291,250030,2025-11-13,Thursday,1.77,English,Notes Review,46.6,50
292,250030,2025-11-14,Friday,1.1,English,Videos,43.4,49
293,250030,2025-11-17,Monday,1.0,Math,Videos,48.9,32
294,250030,2025-11-18,Tuesday,1.15,Math,Pomodoro,37.1,46
295,250030,2025-11-19,Wednesday,1.51,Math,Videos,41.5,43
296,250030,2025-11-20,Thursday,1.1,Science,Pomodoro,42.1,26
297,250030,2025-11-21,Friday,1.77,Science,Pomodoro,43.5,34
298,250030,2025-11-24,Monday,1.08,Computer,Notes Review,58.4,51
299,250030,2025-11-25,Tuesday,1.76,Science,Pomodoro,39.2,31
300,250030,2025-11-26,Wednesday,1.47,Computer,Videos,43.6,45
301,250031,2025-11-13,Thursday,1.79,Computer,Videos,51.9,31
302,250031,2025-11-14,Friday,1.1,Math,Videos,54.0,26
303,250031,2025-11-17,Monday,1.66,English,Videos,44.3,51
304,250031,2025-11-18,Tuesday,1.55,Math,Pomodoro,46.1,53
305,250031,2025-11-19,Wednesday,1.08,English,Pomodoro,56.4,34
306,250031,2025-11-20,Thursday,1.55,English,Notes Review,40.5,21
307,250031,2025-11-21,Friday,1.18,Math,Notes Review,38.3,22
308,250031,2025-11-24,Monday,1.12,English,Pomodoro,45.8,40
309,250031,2025-11-25,Tuesday,1.51,English,Videos,44.9,24
310,250031,2025-11-26,Wednesday,1.33,Science,Pomodoro,57.4,34
311,250032,2025-11-13,Thursday,2.93,English,Videos,12.1,86
312,250032,2025-11-14,Friday,2.98,Math,Pomodoro,6.9,85
313,250032,2025-11-17,Monday,2.58,Computer,Videos,9.5,86
314,250032,2025-11-18,Tuesday,2.81,Computer,Notes Review,6.3,89
315,250032,2025-11-19,Wednesday,2.81,Science,Notes Review,13.0,93
316,250032,2025-11-20,Thursday,2.8,Computer,Pomodoro,11.1,88
317,250032,2025-11-21,Friday,2.6,Science,Notes Review,9.9,99
318,250032,2025-11-24,Monday,2.66,English,Pomodoro,10.9,92
319,250032,2025-11-25,Tuesday,2.57,Computer,Notes Review,9.6,98
320,250032,2025-11-26,Wednesday,2.74,Math,Pomodoro,11.0,95
321,250033,2025-11-13,Thursday,1.62,English,Pomodoro,36.0,41
322,250033,2025-11-14,Friday,1.19,English,Notes Review,59.7,51
323,250033,2025-11-17,Monday,1.49,Computer,Notes Review,52.6,29
324,250033,2025-11-18,Tuesday,1.26,Math,Pomodoro,47.9,52
325,250033,2025-11-19,Wednesday,1.07,Science,Videos,55.6,45
326,250033,2025-11-20,Thursday,1.11,Science,Notes Review,49.2,34
327,250033,2025-11-21,Friday,1.13,Math,Videos,37.6,30
328,250033,2025-11-24,Monday,1.72,English,Videos,49.9,28
329,250033,2025-11-25,Tuesday,1.43,Computer,Notes Review,52.7,27
330,250033,2025-11-26,Wednesday,1.5,English,Notes Review,54.6,26
331,250034,2025-11-13,Thursday,1.36,English,Notes Review,51.1,33
332,250034,2025-11-14,Friday,1.05,Math,Pomodoro,41.2,32
333,250034,2025-11-17,Monday,1.49,Math,Pomodoro,43.2,55
334,250034,2025-11-18,Tuesday,1.63,Science,Notes Review,51.5,37
335,250034,2025-11-19,Wednesday,1.52,Computer,Notes Review,43.3,22
336,250034,2025-11-20,Thursday,1.32,Math,Videos,40.5,34
337,250034,2025-11-21,Friday,1.37,Science,Pomodoro,56.7,50
338,250034,2025-11-24,Monday,1.68,Computer,Notes Review,50.7,47
339,250034,2025-11-25,Tuesday,1.79,Math,Notes Review,36.0,51
340,250034,2025-11-26,Wednesday,1.58,English,Notes Review,47.2,21
341,250035,2025-11-13,Thursday,1.52,English,Pomodoro,59.8,31
342,250035,2025-11-14,Friday,1.37,English,Notes Review,55.9,52
343,250035,2025-11-17,Monday,1.57,Science,Notes Review,57.7,42
344,250035,2025-11-18,Tuesday,1.78,Science,Pomodoro,39.5,24
345,250035,2025-11-19,Wednesday,1.35,Computer,Videos,37.4,33
346,250035,2025-11-20,Thursday,1.29,Math,Videos,49.8,25
347,250035,2025-11-21,Friday,1.25,Math,Pomodoro,45.0,54
348,250035,2025-11-24,Monday,1.26,Math,Videos,54.3,55
349,250035,2025-11-25,Tuesday,1.36,Science,Notes Review,40.9,22
350,250035,2025-11-26,Wednesday,1.26,Science,Pomodoro,46.2,31
351,250036,2025-11-13,Thursday,1.95,Math,Notes Review,27.3,60
352,250036,2025-11-14,Friday,1.9,English,Pomodoro,15.7,64
353,250036,2025-11-17,Monday,2.12,Computer,Videos,30.6,83
354,250036,2025-11-18,Tuesday,2.32,Science,Notes Review,19.1,79
355,250036,2025-11-19,Wednesday,1.83,Science,Pomodoro,25.6,79
356,250036,2025-11-20,Thursday,2.18,Math,Videos,19.5,64
357,250036,2025-11-21,Friday,1.99,Computer,Notes Review,25.1,73
358,250036,2025-11-24,Monday,2.04,Science,Notes Review,24.6,70
359,250036,2025-11-25,Tuesday,1.99,English,Videos,34.5,66
360,250036,2025-11-26,Wednesday,2.11,Computer,Videos,21.9,65
361,250037,2025-11-13,Thursday,2.65,Computer,Videos,12.0,94
362,250037,2025-11-14,Friday,2.58,Computer,Pomodoro,6.9,91
363,250037,2025-11-17,Monday,2.72,English,Notes Review,13.7,90
364,250037,2025-11-18,Tuesday,2.83,Science,Notes Review,14.8,95
365,250037,2025-11-19,Wednesday,2.75,English,Pomodoro,11.2,92
366,250037,2025-11-20,Thursday,2.52,Computer,Pomodoro,14.3,98
367,250037,2025-11-21,Friday,2.8,Math,Pomodoro,14.4,98
368,250037,2025-11-24,Monday,2.79,Science,Notes Review,8.5,86
369,250037,2025-11-25,Tuesday,2.66,Computer,Pomodoro,13.7,93
370,250037,2025-11-26,Wednesday,2.89,English,Notes Review,10.7,93
371,250038,2025-11-13,Thursday,2.0,Science,Notes Review,28.4,65
372,250038,2025-11-14,Friday,2.33,English,Pomodoro,21.3,72
373,250038,2025-11-17,Monday,1.87,Math,Videos,25.9,84
374,250038,2025-11-18,Tuesday,2.18,Math,Videos,27.2,74
375,250038,2025-11-19,Wednesday,2.03,Computer,Pomodoro,24.0,76
376,250038,2025-11-20,Thursday,2.07,English,Notes Review,15.3,70
377,250038,2025-11-21,Friday,2.19,English,Pomodoro,30.2,68
378,250038,2025-11-24,Monday,2.32,Computer,Pomodoro,25.4,65
379,250038,2025-11-25,Tuesday,2.29,Science,Pomodoro,17.2,64
380,250038,2025-11-26,Wednesday,1.95,Computer,Videos,24.5,70
381,250039,2025-11-13,Thursday,1.57,English,Videos,58.9,40
382,250039,2025-11-14,Friday,1.01,Math,Videos,51.2,34
383,250039,2025-11-17,Monday,1.3,Science,Videos,39.9,32
384,250039,2025-11-18,Tuesday,1.08,Math,Videos,47.1,46
385,250039,2025-11-19,Wednesday,1.43,Science,Notes Review,49.5,55
386,250039,2025-11-20,Thursday,1.32,Math,Notes Review,59.4,45
387,250039,2025-11-21,Friday,1.14,English,Pomodoro,52.0,29
388,250039,2025-11-24,Monday,1.15,Computer,Notes Review,42.4,55
389,250039,2025-11-25,Tuesday,1.64,English,Notes Review,48.8,32
